ent,imagen_url,ent_abrev
Aguascalientes,https://github.com/indetecmx/escudo_entidades/blob/main/AGS.PNG?raw=true,Ags
Baja California,https://github.com/indetecmx/escudo_entidades/blob/main/BC.PNG?raw=true,BC
Baja California Sur,https://github.com/indetecmx/escudo_entidades/blob/main/BCS.PNG?raw=true,BCS
Campeche,https://github.com/indetecmx/escudo_entidades/blob/main/CAMP.PNG?raw=true,Camp
Chiapas,https://github.com/indetecmx/escudo_entidades/blob/main/CHIS.PNG?raw=true,Chis
Chihuahua,https://github.com/indetecmx/escudo_entidades/blob/main/CHIH.PNG?raw=true,Chih
Ciudad de México,https://github.com/indetecmx/escudo_entidades/blob/main/CD%20MX.PNG?raw=true,CDMX
Coahuila,https://github.com/indetecmx/escudo_entidades/blob/main/COAH.PNG?raw=true,Coah
Colima,https://github.com/indetecmx/escudo_entidades/blob/main/COL.PNG?raw=true,Col
Durango,https://github.com/indetecmx/escudo_entidades/blob/main/DGO.PNG?raw=true,Dgo
Estado de México,https://github.com/indetecmx/escudo_entidades/blob/main/MEX.PNG?raw=true,Edo. Méx
Guanajuato,https://github.com/indetecmx/escudo_entidades/blob/main/GTO.PNG?raw=true,Gto
Guerrero,https://github.com/indetecmx/escudo_entidades/blob/main/GRO.PNG?raw=true,Gro
Hidalgo,https://github.com/indetecmx/escudo_entidades/blob/main/HGO.PNG?raw=true,Hgo
Jalisco,https://github.com/indetecmx/escudo_entidades/blob/main/JAL.PNG?raw=true,Jal
Michoacán,https://github.com/indetecmx/escudo_entidades/blob/main/MICH.PNG?raw=true,Mich
Morelos,https://github.com/indetecmx/escudo_entidades/blob/main/MOR.PNG?raw=true,Mor
Nayarit,https://github.com/indetecmx/escudo_entidades/blob/main/NAY.PNG?raw=true,Nay
Nuevo León,https://github.com/indetecmx/escudo_entidades/blob/main/NL.PNG?raw=true,NL
Oaxaca,https://github.com/indetecmx/escudo_entidades/blob/main/OAX.PNG?raw=true,Oax
Puebla,https://github.com/indetecmx/escudo_entidades/blob/main/PUE.PNG?raw=true,Pue
Querétaro,https://github.com/indetecmx/escudo_entidades/blob/main/QRO.PNG?raw=true,Qro
Quintana Roo,https://github.com/indetecmx/escudo_entidades/blob/main/Q%20ROO.PNG?raw=true,QRoo
San Luis Potosí,https://github.com/indetecmx/escudo_entidades/blob/main/SLP.PNG?raw=true,SLP
Sinaloa,https://github.com/indetecmx/escudo_entidades/blob/main/SIN.PNG?raw=true,Sin
Sonora,https://github.com/indetecmx/escudo_entidades/blob/main/SON.PNG?raw=true,Son
Tabasco,https://github.com/indetecmx/escudo_entidades/blob/main/TAB.PNG?raw=true,Tab
Tamaulipas,https://github.com/indetecmx/escudo_entidades/blob/main/TAMPS.PNG?raw=true,Tamps
Tlaxcala,https://github.com/indetecmx/escudo_entidades/blob/main/TLAX.PNG?raw=true,Tlax
Veracruz,https://github.com/indetecmx/escudo_entidades/blob/main/VER.PNG?raw=true,Ver
Yucatán,https://github.com/indetecmx/escudo_entidades/blob/main/YUC.PNG?raw=true,Yuc
Zacatecas,https://github.com/indetecmx/escudo_entidades/blob/main/ZAC.PNG?raw=true,Zac
