ent,imagen_url,ent_abrev
Aguascalientes,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/AGS.PNG,Ags
Baja California,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/BC.PNG,BC
Baja California Sur,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/BCS.PNG,BCS
Campeche,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/CAMP.PNG,Camp
Chihuahua,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/CHIH.PNG,Chih
Chiapas,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/CHIS.PNG,Chis
Ciudad de México,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/CDMX.PNG,CDMX
Coahuila,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/COAH.PNG,Coah
Colima,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/COL.PNG,Col
Durango,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/DGO.PNG,Dgo
Estado de México,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/MEX.PNG,Edo. Mex
Guanajuato,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/GTO.PNG,Gto
Guerrero,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/GRO.PNG,Gro
Hidalgo,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/HGO.PNG,Hgo
Jalisco,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/JAL.PNG,Jal
Michoacán,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/MICH.PNG,Mich
Morelos,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/MOR.PNG,Mor
Nayarit,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/NAY.PNG,Nay
Nuevo León,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/NL.PNG,NL
Oaxaca,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/OAX.PNG,Oax
Puebla,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/PUE.PNG,Pue
Querétaro,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/QRO.PNG,Qro
Quintana Roo,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/QROO.PNG,QRoo
San Luis Potosí,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/SLP.PNG,SLP
Sinaloa,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/SIN.PNG,Sin
Sonora,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/SON.PNG,Son
Tabasco,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/TAB.PNG,Tab
Tamaulipas,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/TAMPS.PNG,Tamps
Tlaxcala,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/TLAX.PNG,Tlax
Veracruz,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/VER.PNG,Ver
Yucatán,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/YUC.PNG,Yuc
Zacatecas,https://raw.githubusercontent.com/indetecmx/escudo_entidades/main/ZAC.PNG,Zac
